Property_Type,BHK,Bathrooms,Balcony,Area_SqFt,Locality,City,Price_INR,Property_Age,Floor_Number,Furnished_Status,Metro_Distance,Hospital_Distance,School_Distance,Mall_Distance,Airport_Distance,Crime_Index,Infrastructure_Growth_Score
Plot  Area,3.0,4.0,1.0,600.0,Jnana Ganga Nagar,Bangalore,8100000.0,8,13,Semi-Furnished,9.14,1.42,3.87,9.1,32.99,21,81
Super built-up  Area,3.0,3.0,2.0,1826.0,Sarjapur  Road,Bangalore,13000000.0,13,7,Semi-Furnished,6.31,4.75,3.54,5.85,34.96,10,87
Super built-up  Area,2.0,2.0,1.0,1035.0,8th Phase JP Nagar,Bangalore,3933000.0,10,10,Semi-Furnished,6.82,4.48,0.86,5.97,26.88,20,85
Built-up  Area,4.0,4.0,2.0,2600.0,Sarjapur  Road,Bangalore,9800000.0,13,12,Unfurnished,7.27,1.85,1.69,1.1,43.65,19,88
Built-up  Area,3.0,3.0,2.0,1667.0,Kasavanhalli,Bangalore,9200000.0,6,4,Fully Furnished,4.15,1.39,3.04,6.77,30.99,11,84
Super built-up  Area,2.0,2.0,2.0,934.0,Thanisandra,Bangalore,5500000.0,0,11,Fully Furnished,5.43,4.17,1.8,1.25,31.19,29,83
Super built-up  Area,3.0,2.0,1.0,1620.0,Mahadevpura,Bangalore,7600000.0,12,6,Fully Furnished,9.97,0.97,1.81,7.17,35.03,20,92
Super built-up  Area,2.0,2.0,1.0,1070.0,Electronic City,Bangalore,4700000.0,19,4,Fully Furnished,1.81,3.29,1.01,5.11,44.07,13,86
Built-up  Area,5.0,5.0,3.0,3600.0,Hosur Road,Bangalore,18000000.0,2,4,Unfurnished,7.35,4.58,0.83,5.65,39.2,29,97
Super built-up  Area,3.0,2.0,2.0,1280.0,Uttarahalli,Bangalore,6000000.0,19,6,Semi-Furnished,1.83,1.31,2.7,9.47,38.01,15,97
Super built-up  Area,2.0,2.0,2.0,1400.0,rr nagar,Bangalore,6000000.0,3,9,Semi-Furnished,3.62,1.06,3.95,9.28,44.27,27,82
Plot  Area,7.0,8.0,2.0,1200.0,Vishveshwarya Layout,Bangalore,18000000.0,10,12,Semi-Furnished,5.42,3.39,3.73,1.49,32.16,24,83
Built-up  Area,2.0,2.0,1.0,1330.0,"Varthur Road, ",Bangalore,6400000.0,1,13,Fully Furnished,3.46,3.26,3.49,9.54,28.47,19,82
Super built-up  Area,3.0,2.0,2.0,1611.0,Electronic City Phase II,Bangalore,4833000.0,13,7,Fully Furnished,10.41,0.8,3.93,1.81,37.52,17,92
Super built-up  Area,3.0,3.0,2.0,1405.0,Whitefield,Bangalore,5800000.0,11,2,Unfurnished,10.64,2.13,0.89,3.74,34.66,18,97
Super built-up  Area,3.0,3.0,3.0,1515.0,VGP Layout,Bangalore,9000000.0,16,14,Unfurnished,3.11,4.67,1.84,6.12,25.14,16,87
Super built-up  Area,3.0,4.0,2.0,1830.0,Thigalarapalya,Bangalore,15000000.0,11,6,Semi-Furnished,10.87,1.53,0.73,7.32,34.72,18,89
Built-up  Area,3.0,3.0,0.0,1710.0,Kaggadasapura,Bangalore,6000000.0,11,14,Semi-Furnished,3.91,2.88,2.01,8.4,42.05,16,95
Built-up  Area,2.0,2.0,1.0,935.0,BTM Layout,Bangalore,5150000.0,0,5,Semi-Furnished,1.63,2.09,0.53,5.66,30.24,22,88
Super built-up  Area,3.0,3.0,2.0,2197.0,Jakkur,Bangalore,13600000.0,12,6,Semi-Furnished,9.24,4.57,2.78,3.88,34.73,26,90
Plot  Area,4.0,4.0,0.0,600.0,TC Palaya,Bangalore,6500000.0,13,13,Semi-Furnished,6.94,2.84,1.89,5.87,27.0,19,90
Super built-up  Area,3.0,3.0,2.0,1678.0,Yeshwanthpur,Bangalore,9213000.0,1,8,Semi-Furnished,6.73,2.53,3.52,1.79,35.15,29,90
Built-up  Area,3.0,2.0,0.0,1410.0,Brookefield,Bangalore,8000000.0,11,8,Fully Furnished,1.53,4.51,1.08,2.03,40.03,13,96
Super built-up  Area,2.0,2.0,2.0,1125.0,Jakkur,Bangalore,6500000.0,15,3,Unfurnished,11.77,3.4,1.7,6.77,27.93,22,87
Super built-up  Area,3.0,2.0,1.0,1191.0,Magadi Road,Bangalore,5538000.0,3,9,Unfurnished,10.24,2.11,0.2,4.25,28.56,11,95
Super built-up  Area,2.0,2.0,2.0,1200.0,Thubarahalli,Bangalore,7900000.0,7,6,Fully Furnished,11.66,4.97,1.97,1.42,31.85,20,93
Super built-up  Area,3.0,2.0,3.0,1525.0,CV Raman Nagar,Bangalore,6700000.0,1,7,Semi-Furnished,4.06,4.62,0.52,6.29,38.48,16,87
Super built-up  Area,3.0,3.0,3.0,1464.0,KUDLU MAIN ROAD,Bangalore,5600000.0,9,9,Semi-Furnished,7.84,1.69,3.74,9.54,28.05,16,93
Super built-up  Area,2.0,2.0,1.0,920.0,Seegehalli,Bangalore,2700000.0,8,14,Semi-Furnished,9.34,0.65,3.82,4.24,33.4,24,85
Built-up  Area,1.0,1.0,1.0,651.0,Yelahanka,Bangalore,1750000.0,14,13,Unfurnished,9.94,1.04,2.31,5.88,37.04,15,85
Super built-up  Area,2.0,1.0,2.0,600.0,Chikkabanavar,Bangalore,2500000.0,12,7,Unfurnished,9.71,1.2,1.86,9.66,30.22,28,96
Super built-up  Area,2.0,2.0,2.0,1185.0,Thanisandra,Bangalore,4400000.0,16,10,Semi-Furnished,7.51,3.81,2.01,3.23,32.89,12,90
Super built-up  Area,2.0,2.0,1.0,1190.0,Electronics City Phase 1,Bangalore,6800000.0,15,9,Semi-Furnished,1.83,2.19,1.52,8.31,44.04,34,81
Super built-up  Area,4.0,5.0,0.0,2856.0,Whitefield,Bangalore,15850000.0,1,1,Fully Furnished,11.94,2.03,1.86,3.43,42.41,34,96
Super built-up  Area,2.0,2.0,3.0,1355.0,Whitefield,Bangalore,7300000.0,19,13,Semi-Furnished,2.71,3.01,2.1,8.73,34.6,17,81
Plot  Area,2.0,1.0,0.0,1200.0,KR Puram,Bangalore,6500000.0,19,1,Fully Furnished,3.4,1.11,3.86,2.71,40.09,25,88
Plot  Area,4.0,4.0,3.0,7000.0,Kundalahalli,Bangalore,55000000.0,13,3,Semi-Furnished,10.16,1.74,1.72,2.8,30.56,19,91
Plot  Area,6.0,4.0,1.0,1200.0,Ramamurthy Nagar,Bangalore,11000000.0,2,13,Semi-Furnished,2.56,2.68,3.06,1.23,25.68,30,93
Super built-up  Area,1.0,2.0,1.0,500.0,Yelahanka New Town,Bangalore,2400000.0,11,9,Semi-Furnished,3.74,2.61,2.98,2.5,40.95,19,80
Super built-up  Area,3.0,3.0,3.0,1250.0,Bommasandra Industrial Area,Bangalore,5000000.0,7,1,Fully Furnished,1.71,3.25,3.84,4.26,37.1,13,80
Built-up  Area,3.0,2.0,1.0,1480.0,Uttarahalli,Bangalore,5800000.0,1,1,Fully Furnished,3.15,1.89,0.39,5.72,38.79,28,86
Built-up  Area,4.0,4.0,2.0,3300.0,Ambalipura,Bangalore,32900000.0,3,5,Fully Furnished,8.42,2.22,0.53,9.0,29.92,17,87
Super built-up  Area,3.0,3.0,2.0,1583.0,KR Puram,Bangalore,7044499.999999999,13,8,Unfurnished,5.29,0.79,2.39,6.67,34.09,21,93
Super built-up  Area,2.0,2.0,1.0,1206.0,Green Woods Layout,Bangalore,5300000.0,15,2,Unfurnished,2.92,3.42,2.01,5.07,33.35,11,82
Super built-up  Area,2.0,2.0,1.0,1357.0,Rajaji Nagar,Bangalore,13000000.0,18,4,Semi-Furnished,4.27,2.75,2.55,9.4,30.12,18,86
Built-up  Area,2.0,2.0,1.0,925.0,Hosakerehalli,Bangalore,4650000.0,1,6,Fully Furnished,9.41,0.69,2.23,4.35,27.55,13,82
Super built-up  Area,2.0,2.0,1.0,909.0,8th Phase JP Nagar,Bangalore,4090000.0,11,1,Fully Furnished,7.35,2.77,3.11,1.96,29.0,26,94
Plot  Area,3.0,5.0,2.0,3000.0,Seegehalli,Bangalore,33500000.0,13,4,Semi-Furnished,6.5,1.68,3.58,9.52,42.32,23,81
Built-up  Area,2.0,2.0,1.0,1100.0,Brookefield,Bangalore,5500000.0,5,4,Semi-Furnished,1.99,1.16,2.23,6.52,31.32,13,92
Plot  Area,4.0,5.0,2.0,3000.0,Malleshwaram,Bangalore,81500000.0,12,9,Semi-Furnished,6.87,0.52,0.54,8.57,42.58,10,92
Super built-up  Area,2.0,2.0,2.0,1306.0,Raja Rajeshwari Nagar,Bangalore,4417000.0,3,9,Semi-Furnished,6.56,4.92,0.61,1.59,34.84,19,87
Plot  Area,4.0,4.0,1.0,1200.0,Roopena Agrahara,Bangalore,9500000.0,17,6,Fully Furnished,6.15,4.77,1.05,9.54,39.74,17,88
Super built-up  Area,1.0,1.0,1.0,610.0,Kalena Agrahara,Bangalore,3900000.0,11,8,Unfurnished,6.62,4.21,3.47,9.82,39.9,33,96
Super built-up  Area,3.0,2.0,2.0,1484.0,Yelahanka,Bangalore,5640000.0,19,12,Fully Furnished,2.28,1.47,2.4,1.11,38.03,21,85
Super built-up  Area,2.0,2.0,1.0,1125.0,Ramamurthy Nagar,Bangalore,4700000.0,18,10,Unfurnished,11.3,4.41,1.63,6.23,25.98,19,85
Super built-up  Area,4.0,5.0,1.0,2882.0,Whitefield,Bangalore,15800000.0,7,4,Semi-Furnished,4.71,4.54,1.58,4.73,34.9,31,83
Plot  Area,4.0,4.0,0.0,750.0,Vidyaranyapura,Bangalore,8800000.0,6,10,Unfurnished,8.35,0.87,0.43,5.59,41.75,10,96
Super built-up  Area,3.0,3.0,1.0,2075.0,Kundalahalli,Bangalore,11500000.0,15,8,Fully Furnished,5.27,2.85,1.26,2.61,37.54,20,83
Built-up  Area,2.0,2.0,1.0,1250.0,Stage-4 Bommanahalli,Bangalore,5800000.0,18,3,Fully Furnished,4.94,0.98,1.57,7.91,36.97,18,83
Super built-up  Area,2.0,2.0,2.0,1272.0,Horamavu Banaswadi,Bangalore,5150000.0,5,2,Fully Furnished,9.11,2.9,0.53,3.37,28.46,14,92
Plot  Area,4.0,3.0,2.0,1050.0,Banashankari Stage II,Bangalore,12500000.0,19,6,Fully Furnished,5.9,4.3,1.78,6.64,40.04,20,85
Super built-up  Area,2.0,2.0,1.0,625.0,Venkateshpuram,Bangalore,2400000.0,10,5,Fully Furnished,7.97,3.32,1.68,2.04,26.99,15,95
Built-up  Area,1.0,2.0,2.0,840.0,1st Phase JP Nagar,Bangalore,5000000.0,4,8,Fully Furnished,4.38,0.78,3.82,5.95,29.56,26,94
Super built-up  Area,4.0,4.0,2.0,2502.0,Hennur Road,Bangalore,18000000.0,15,1,Semi-Furnished,4.29,0.54,2.0,4.87,27.96,31,88
Super built-up  Area,1.0,1.0,1.0,583.0,Rayasandra,Bangalore,2690000.0,6,11,Unfurnished,3.59,0.92,2.7,2.0,36.3,33,80
Super built-up  Area,2.0,2.0,1.0,900.0,Gunjur Palya,Bangalore,2700000.0,4,12,Semi-Furnished,4.66,4.59,3.54,1.4,37.63,24,96
Built-up  Area,3.0,3.0,1.0,2200.0,Kanakapura,Bangalore,12100000.0,10,10,Unfurnished,2.18,4.93,3.56,8.68,28.47,31,89
Super built-up  Area,1.0,1.0,1.0,750.0,Whitefield,Bangalore,5100000.0,14,3,Unfurnished,2.32,2.68,2.55,5.87,29.95,31,96
Super built-up  Area,3.0,3.0,3.0,1600.0,Marathahalli,Bangalore,5800000.0,2,7,Unfurnished,10.46,2.11,2.18,7.07,26.94,14,90
Super built-up  Area,3.0,2.0,2.0,1365.0,Chikkalasandra,Bangalore,4900000.0,4,13,Fully Furnished,4.44,2.05,1.42,7.15,32.57,32,89
Built-up  Area,3.0,3.0,2.0,1300.0,"Judicial Layout, Kanakapura Road, ",Bangalore,6400000.0,4,10,Fully Furnished,7.15,2.41,1.92,3.54,32.85,17,90
Built-up  Area,1.0,1.0,0.0,1200.0,Kurubarahalli,Bangalore,6900000.0,8,14,Fully Furnished,6.71,2.28,0.48,7.55,25.34,24,88
Super built-up  Area,2.0,2.0,2.0,1260.0,Hormavu,Bangalore,3500000.0,14,12,Unfurnished,8.16,3.95,0.82,1.35,26.34,30,81
Super built-up  Area,2.0,2.0,2.0,1190.0,Electronics City Phase 1,Bangalore,3392000.0,2,4,Unfurnished,8.3,2.88,1.62,1.68,36.35,21,87
Super built-up  Area,3.0,4.0,1.0,2480.0,Hosakerehalli,Bangalore,26000000.0,5,10,Unfurnished,5.35,0.89,0.29,2.4,42.31,18,80
Super built-up  Area,3.0,3.0,2.0,1250.0,Vishwapriya Layout,Bangalore,3800000.0,16,5,Semi-Furnished,2.9,0.9,2.92,5.86,27.19,19,89
Built-up  Area,3.0,3.0,0.0,1500.0,Kaggadasapura,Bangalore,7500000.0,7,8,Fully Furnished,3.36,1.0,2.44,8.73,27.35,34,83
Super built-up  Area,3.0,3.0,3.0,1510.0,Banashankari Stage V,Bangalore,4757000.0,10,1,Fully Furnished,5.27,2.25,3.45,5.16,29.14,17,86
Super built-up  Area,2.0,2.0,1.0,1187.0,7th Phase JP Nagar,Bangalore,5900000.0,5,1,Fully Furnished,7.38,1.71,0.84,7.41,28.69,34,80
Super built-up  Area,2.0,2.0,1.0,1120.0,Kundalahalli,Bangalore,5376000.0,7,12,Semi-Furnished,7.95,2.17,3.74,3.91,40.91,28,86
Super built-up  Area,2.0,2.0,0.0,1115.0,Whitefield,Bangalore,3455500.0,9,7,Semi-Furnished,11.29,0.92,3.63,3.26,36.82,17,80
Super built-up  Area,3.0,3.0,3.0,1717.0,Dodsworth Layout,Bangalore,9900000.0,2,13,Semi-Furnished,4.7,4.58,2.24,8.34,28.84,11,89
Built-up  Area,3.0,3.0,2.0,2099.0,Mullur,Bangalore,9500000.0,13,12,Unfurnished,2.65,4.23,1.59,3.47,28.15,22,92
Super built-up  Area,2.0,2.0,2.0,1100.0,Kasturi Nagar,Bangalore,5800000.0,13,9,Semi-Furnished,7.15,3.02,3.49,4.78,38.52,25,95
Plot  Area,1.0,1.0,0.0,1200.0,Hegganahalli,Bangalore,4800000.0,9,4,Unfurnished,2.2,3.07,3.78,8.58,30.08,21,94
Built-up  Area,3.0,2.0,1.0,1465.0,Bannerghatta Road,Bangalore,4587000.0,11,8,Unfurnished,3.24,2.77,0.81,6.39,40.94,26,91
Plot  Area,1.0,1.0,0.0,1500.0,Kothanur,Bangalore,7500000.0,5,10,Fully Furnished,7.32,1.53,2.4,6.4,30.65,31,83
Plot  Area,5.0,4.0,1.0,4050.0,Prashanth Nagar,Bangalore,60000000.0,11,7,Fully Furnished,11.21,3.44,2.11,1.85,40.66,17,91
Super built-up  Area,3.0,2.0,1.0,1255.0,Haralur Road,Bangalore,9000000.0,13,14,Semi-Furnished,3.55,0.91,2.24,3.34,36.81,18,88
Super built-up  Area,2.0,2.0,3.0,1220.0,5th Phase JP Nagar,Bangalore,8800000.0,1,2,Unfurnished,5.31,3.13,0.46,4.29,33.88,17,85
Built-up  Area,2.0,2.0,1.0,1065.0,Electronic City Phase II,Bangalore,3088000.0,8,14,Unfurnished,6.15,2.48,1.65,5.38,28.15,32,93
Built-up  Area,3.0,3.0,3.0,1765.0,Sultan Palaya,Bangalore,8000000.0,9,5,Unfurnished,11.51,0.76,0.77,6.39,29.75,13,94
Super built-up  Area,2.0,2.0,2.0,1281.0,Bellandur,Bangalore,8700000.0,16,9,Fully Furnished,9.22,2.45,3.51,1.41,27.97,25,89
Super built-up  Area,2.0,2.0,2.0,1210.0,Electronic City,Bangalore,2500000.0,16,13,Fully Furnished,4.99,3.16,1.93,9.48,42.77,16,88
Carpet  Area,2.0,2.0,3.0,1215.0,Kaggadasapura,Bangalore,4300000.0,2,13,Fully Furnished,4.35,0.86,3.38,9.18,32.35,15,80
Plot  Area,4.0,3.0,1.0,1200.0,Ananth Nagar,Bangalore,8700000.0,18,9,Fully Furnished,6.94,1.84,1.03,8.65,33.43,26,95
Super built-up  Area,2.0,2.0,2.0,1237.0,Mysore Road,Bangalore,7300000.0,0,3,Fully Furnished,5.5,1.41,3.49,6.08,43.17,19,80
Super built-up  Area,2.0,2.0,1.0,1300.0,Lakshminarayana Pura,Bangalore,7000000.0,11,11,Fully Furnished,7.98,0.61,0.73,6.78,40.43,32,87
Super built-up  Area,2.0,2.0,2.0,1105.0,Whitefield,Bangalore,3999000.0,6,12,Semi-Furnished,7.11,0.87,0.79,7.77,31.36,33,84
Super built-up  Area,3.0,2.0,2.0,1505.0,Chandapura,Bangalore,4200000.0,3,3,Semi-Furnished,1.85,1.35,3.95,2.61,30.86,32,82
Super built-up  Area,4.0,5.0,2.0,3900.0,Hebbal Kempapura,Bangalore,31000000.0,9,2,Semi-Furnished,2.28,3.2,0.31,9.63,25.76,20,96
Built-up  Area,2.0,2.0,3.0,1186.0,Banashankari,Bangalore,6500000.0,12,7,Semi-Furnished,2.91,4.74,0.32,7.31,39.05,17,91
Plot  Area,4.0,3.0,1.0,900.0,Byrathi Village,Bangalore,5100000.0,1,6,Unfurnished,8.33,3.46,0.6,1.94,43.09,16,94
Super built-up  Area,2.0,2.0,1.0,750.0,Kengeri,Bangalore,3550000.0,9,5,Fully Furnished,11.76,4.91,0.92,5.95,30.06,12,91
Built-up  Area,2.0,2.0,2.0,1083.0,Varthur,Bangalore,2800000.0,3,7,Fully Furnished,6.25,4.86,0.46,3.06,26.75,22,88
Built-up  Area,3.0,2.0,1.0,1430.0,Nagaraja Garden,Bangalore,7865000.000000001,17,4,Semi-Furnished,3.07,2.84,3.81,3.17,39.24,32,96
Super built-up  Area,2.0,2.0,2.0,1056.0,Thanisandra,Bangalore,6800000.0,4,5,Unfurnished,7.91,1.5,1.35,7.44,36.29,28,85
Super built-up  Area,3.0,3.0,3.0,2108.0,VGP Layout,Bangalore,8500000.0,18,9,Semi-Furnished,8.07,4.61,3.87,4.82,35.11,29,90
Super built-up  Area,3.0,3.0,2.0,1650.0,Banashankari,Bangalore,10100000.0,1,11,Fully Furnished,9.44,2.91,3.53,2.0,33.16,33,88
Built-up  Area,3.0,3.0,1.0,1220.0,Electronic City Phase II,Bangalore,3660000.0,11,9,Semi-Furnished,8.95,1.18,3.11,2.37,44.53,13,85
Super built-up  Area,2.0,2.0,1.0,1198.0,Rayasandra,Bangalore,5400000.0,16,4,Unfurnished,8.72,2.2,0.3,1.8,29.05,20,97
Super built-up  Area,2.0,2.0,1.0,1190.0,Ejipura,Bangalore,7000000.0,9,6,Fully Furnished,9.11,2.0,2.96,1.27,25.77,10,83
Built-up  Area,2.0,2.0,1.0,900.0,"Judicial Layout, Kanakapura Road, ",Bangalore,4100000.0,1,2,Unfurnished,10.1,2.12,1.63,8.58,28.5,19,92
Super built-up  Area,4.0,4.0,2.0,2690.0,J.P.nagar 6th Phase.Sarakki Nagar,Bangalore,18500000.0,5,3,Semi-Furnished,10.9,0.95,3.53,1.51,34.34,31,93
Built-up  Area,2.0,2.0,2.0,1340.0,Kanakapura,Bangalore,6500000.0,7,9,Fully Furnished,1.54,2.58,2.3,5.46,25.17,26,89
Plot  Area,4.0,3.0,2.0,2940.0,Bommenahalli,Bangalore,225000000.0,18,6,Unfurnished,8.5,2.87,1.08,1.29,29.53,31,83
Plot  Area,6.0,6.0,1.0,2400.0,Giri Nagar,Bangalore,40000000.0,10,8,Unfurnished,11.38,4.44,2.5,7.68,29.81,20,97
Super built-up  Area,2.0,2.0,2.0,1260.0,Yelahanka,Bangalore,5920000.0,11,11,Unfurnished,9.46,0.79,2.22,1.5,26.77,29,93
Super built-up  Area,3.0,3.0,2.0,2254.0,Talaghattapura,Bangalore,15300000.0,8,5,Fully Furnished,2.35,4.15,2.83,1.53,36.59,19,84
Super built-up  Area,3.0,5.0,1.0,2990.0,Old Madras Road,Bangalore,21000000.0,1,2,Fully Furnished,9.23,3.33,1.16,4.26,44.05,24,82
Built-up  Area,4.0,5.0,1.0,1800.0,1st Block BEL Layout,Bangalore,25000000.0,7,7,Semi-Furnished,4.15,4.85,3.96,4.25,38.24,15,82
Built-up  Area,2.0,2.0,1.0,820.0,JP Nagar,Bangalore,4500000.0,10,6,Semi-Furnished,3.43,4.23,2.74,3.4,42.45,34,87
Super built-up  Area,2.0,2.0,2.0,1296.0,Electronic City,Bangalore,6500000.0,3,11,Fully Furnished,3.63,2.53,1.67,9.51,34.51,17,87
Super built-up  Area,2.0,2.0,1.0,1190.0,Uttarahalli,Bangalore,5355000.0,9,2,Unfurnished,11.71,4.01,2.44,3.94,34.03,29,81
Super built-up  Area,2.0,2.0,1.0,1173.0,Whitefield,Bangalore,7700000.0,19,6,Fully Furnished,8.42,4.65,1.75,2.09,44.03,12,95
Plot  Area,3.0,3.0,2.0,1800.0,Sarjapura - Attibele Road,Bangalore,9000000.0,15,13,Fully Furnished,11.77,2.73,3.49,9.64,25.03,15,80
Built-up  Area,2.0,2.0,0.0,1102.0,Yelahanka,Bangalore,5200000.0,7,8,Fully Furnished,10.4,1.7,3.77,6.62,30.61,11,92
Super built-up  Area,2.0,2.0,1.0,913.0,Sarjapur,Bangalore,3600000.0,3,13,Fully Furnished,11.21,2.32,3.65,1.0,28.48,19,85
Super built-up  Area,3.0,2.0,1.0,1176.0,Hormavu,Bangalore,3527000.0000000005,9,1,Semi-Furnished,7.33,2.4,1.83,4.03,37.47,32,89
Built-up  Area,3.0,3.0,2.0,1620.0,Prithvi Layout,Bangalore,6500000.0,11,4,Semi-Furnished,5.16,3.21,1.03,9.11,33.04,28,92
Super built-up  Area,3.0,3.0,2.0,2968.0,Billekahalli,Bangalore,22500000.0,13,1,Unfurnished,9.25,2.42,2.5,6.1,25.3,11,83
Super built-up  Area,2.0,2.0,3.0,1519.0,Yelahanka,Bangalore,6500000.0,15,2,Fully Furnished,1.69,3.2,2.34,3.86,37.35,12,82
Super built-up  Area,3.0,3.0,2.0,1594.0,Dodsworth Layout,Bangalore,9900000.0,17,1,Fully Furnished,8.26,0.65,0.44,2.48,32.2,25,81
Super built-up  Area,2.0,2.0,1.0,1250.0,Kaverappa Layout,Bangalore,6800000.0,11,6,Semi-Furnished,11.54,2.19,3.43,7.41,42.18,31,86
Super built-up  Area,2.0,2.0,1.0,1056.0,Haralur Road,Bangalore,6000000.0,17,11,Semi-Furnished,10.38,3.51,0.34,6.0,33.71,10,96
Plot  Area,3.0,3.0,1.0,1200.0,Whitefield,Bangalore,6840000.000000001,6,6,Fully Furnished,3.49,1.0,0.34,8.08,26.54,27,91
Plot  Area,2.0,1.0,0.0,1290.0,Kothnur Narayanapura,Bangalore,7750000.0,19,1,Semi-Furnished,2.84,1.47,2.99,6.37,44.8,25,91
Built-up  Area,2.0,2.0,1.0,1150.0,Amruthnagar,Bangalore,4800000.0,6,4,Fully Furnished,10.18,3.79,3.79,8.23,26.39,31,95
Super built-up  Area,2.0,2.0,1.0,1464.0,Ambedkar Colony,Bangalore,14500000.0,8,14,Unfurnished,2.06,3.48,2.85,3.36,40.19,26,82
Plot  Area,4.0,2.0,1.0,1200.0,Anekal,Bangalore,3600000.0,0,14,Unfurnished,11.95,2.06,3.17,2.66,39.75,30,80
Built-up  Area,2.0,2.0,0.0,861.0,Gollarapalya Hosahalli,Bangalore,3650000.0,5,14,Unfurnished,6.41,4.97,3.69,6.49,37.3,18,80
Super built-up  Area,2.0,2.0,1.0,1047.0,Kundalahalli,Bangalore,8262000.0,5,4,Fully Furnished,11.24,1.9,1.44,7.55,37.98,23,80
Plot  Area,2.0,2.0,0.0,1200.0,Lakshmipura,Bangalore,7500000.0,11,8,Semi-Furnished,10.02,1.61,2.54,9.74,29.07,22,93
Plot  Area,10.0,10.0,2.0,1200.0,Kirloskar Layout,Bangalore,19000000.0,11,6,Unfurnished,8.82,2.03,1.56,6.58,31.69,27,94
Built-up  Area,2.0,2.0,1.0,1065.0,Hongasandra,Bangalore,4500000.0,9,2,Fully Furnished,3.66,3.88,3.19,7.58,43.91,11,88
Built-up  Area,3.0,3.0,3.0,2300.0,Rajaji Nagar,Bangalore,36900000.0,5,5,Unfurnished,2.4,0.92,3.23,4.34,43.28,32,95
Super built-up  Area,2.0,2.0,1.0,1000.0,Ramamurthy Nagar,Bangalore,6200000.0,16,4,Unfurnished,8.38,1.79,2.05,7.3,30.99,13,80
Super built-up  Area,3.0,3.0,1.0,1682.0,Lingadheeranahalli,Bangalore,11300000.0,18,10,Semi-Furnished,3.49,3.24,3.12,7.96,38.49,16,97
Super built-up  Area,3.0,3.0,2.0,1756.0,Harlur,Bangalore,13100000.0,17,4,Fully Furnished,10.2,4.39,1.68,4.42,25.36,34,80
Plot  Area,5.0,4.0,2.0,4000.0,BEL Road,Bangalore,100000000.0,5,12,Semi-Furnished,2.2,2.46,2.79,8.85,27.9,20,96
Super built-up  Area,4.0,4.0,2.0,1050.0,Vignana Nagar,Bangalore,9000000.0,18,8,Semi-Furnished,7.0,2.21,1.39,6.54,34.89,16,96
Super built-up  Area,2.0,2.0,1.0,1238.0,Vittasandra,Bangalore,6731999.999999999,9,5,Semi-Furnished,5.93,2.08,0.68,1.28,42.69,10,87
Super built-up  Area,2.0,2.0,1.0,814.0,Dasanapura,Bangalore,4200000.0,7,3,Unfurnished,11.21,0.74,3.34,3.23,42.77,13,95
Built-up  Area,2.0,2.0,1.0,1145.0,Dodda Nekkundi,Bangalore,4650000.0,5,10,Unfurnished,10.93,4.72,0.33,7.49,43.12,33,90
Super built-up  Area,2.0,2.0,1.0,965.0,Varthur,Bangalore,3400000.0,6,12,Unfurnished,9.06,0.7,2.02,5.6,42.04,20,97
Super built-up  Area,2.0,2.0,1.0,750.0,Doddabele,Bangalore,3600000.0,0,4,Fully Furnished,9.43,3.03,3.83,4.97,33.84,29,91
Built-up  Area,3.0,2.0,2.0,1300.0,Banashankari,Bangalore,5500000.0,17,1,Semi-Furnished,8.92,4.07,0.2,9.72,41.07,33,97
Super built-up  Area,3.0,3.0,3.0,1590.0,1st Phase JP Nagar,Bangalore,13100000.0,19,6,Unfurnished,8.59,4.36,3.75,4.61,35.05,16,85
Super built-up  Area,1.0,1.0,1.0,644.0,Begur Road,Bangalore,4000000.0,11,11,Semi-Furnished,11.97,1.33,0.54,2.09,33.99,25,96
Super built-up  Area,2.0,2.0,1.0,982.0,Whitefield,Bangalore,3700000.0,15,13,Semi-Furnished,9.23,0.65,2.38,4.28,26.48,21,90
Super built-up  Area,2.0,2.0,2.0,1260.0,Indira Nagar,Bangalore,10000000.0,9,10,Semi-Furnished,11.43,3.96,1.87,9.68,37.58,22,91
Super built-up  Area,3.0,3.0,2.0,1555.0,Rayasandra,Bangalore,7517000.0,9,4,Semi-Furnished,6.09,0.78,0.95,9.06,37.06,15,89
Built-up  Area,4.0,4.0,1.0,2500.0,Race Course Road,Bangalore,45000000.0,13,6,Semi-Furnished,11.98,2.47,2.9,8.58,32.98,11,90
Super built-up  Area,2.0,2.0,2.0,1225.0,Kaggadasapura,Bangalore,4800000.0,19,2,Unfurnished,7.95,2.1,1.32,8.02,33.04,31,95
Super built-up  Area,2.0,2.0,1.0,1085.0,Electronics City Phase 1,Bangalore,4600000.0,9,5,Fully Furnished,11.0,1.1,3.04,5.78,32.32,28,86
Super built-up  Area,3.0,3.0,2.0,1640.0,Rajaji Nagar,Bangalore,22000000.0,9,11,Fully Furnished,2.45,2.89,1.7,4.16,33.34,31,91
Built-up  Area,3.0,3.0,1.0,1595.0,Thanisandra,Bangalore,11000000.0,10,9,Fully Furnished,7.91,1.18,0.36,8.06,30.37,27,94
Super built-up  Area,2.0,2.0,2.0,1196.0,Raja Rajeshwari Nagar,Bangalore,4044000.0,1,8,Fully Furnished,11.92,3.49,1.84,2.97,34.46,26,97
